#OTU ID	S1-1	S1-2	S1-3	S2-1	S2-2	S4-1	S4-2	S4-3	S6-1	S6-2	S6-3	S7-1	S7-2	S7-3	S8-1	S8-2	S8-3	S9-1	S9-2	S9-3	S11-1	S11-2	S11-3	S12-1	S12-2	S12-3	S13-2	S13-3	S14-1	S14-2	S14-3	S15-1	S15-2	S15-3	S16-1	S16-2	S16-3	S17-1	S17-2	S17-3	S18-1	S18-2	S18-3	S19-1	S19-2	S19-3	S20-1	S20-2	S20-3	S21-1	S21-2	S21-3	S22-1	S22-2	S22-3	S23-1	S23-2	S23-3	S24-1	S25-1	S25-2	S25-3	S28-1	S28-2	S28-3	S29-1	S29-2	S29-3	S30-1	S31-1	S31-2	S31-3	S32-1	S32-2	S32-3	S33-1	S33-2	S33-3	S34-1	S34-2	S34-3	S35-1	S35-2	S35-3	S37-2	S37-3	S38-1	S38-2	S38-3	S40-1	S40-2	S40-3	S41-1	S41-2	S42-1	S42-2	S42-3	S47-1	S47-2	S47-3	S48-1	S48-2	S48-3	S49-1	S49-2	S49-3	S50-1	S52-1	S52-2	S53-1	S53-2	S53-3	S55-1	S55-2	S55-3	S56-1	S56-2	S56-3	S57-1	S57-2	S57-3
ASV1	7421	4173	4288	96	0	650	145	0	107	105	98	0	0	0	0	550	161	515	1463	555	1407	474	165	0	0	0	0	0	0	344	330	11144	710	1146	0	0	0	343	294	143	1	14588	958	0	0	0	110	189	96	0	98	763	858	395	907	0	0	0	766	1614	3306	6296	462	1844	3567	2529	2643	2822	314	190	212	132	811	72	819	0	0	0	222	832	885	1685	1116	2592	343	1299	734	638	1167	1052	3897	2799	1373	1313	213	295	533	1147	7190	665	3434	4520	5086	196	229	301	0	578	432	393	1092	3151	289	127	38	3311	5282	1939	2620	3832	822
ASV2	403	451	206	0	0	159	2125	0	0	0	0	550	1400	7889	0	237	0	0	0	389	0	0	0	7110	19829	6033	3345	5098	0	161	0	5821	2156	1487	20684	34755	6947	0	0	0	3	1240	218	516	6053	1245	4899	1551	324	0	0	0	0	0	0	0	0	168	0	1708	782	2797	0	0	0	0	0	0	0	0	0	0	112	436	283	9694	784	7367	0	0	0	326	877	917	0	0	0	0	0	0	0	0	0	0	0	0	0	2667	0	665	0	0	0	3931	1486	2264	0	176	0	1554	446	0	1030	588	344	0	0	0	896	955	0
ASV3	30	49	34	131	299	192	117	13	0	0	333	2036	593	7919	329	205	87	79	94	219	0	0	0	70	136	2000	53	0	303	402	436	0	0	0	2612	632	401	0	0	0	3	35	2499	1854	7820	1164	462	29	0	325	383	750	679	592	458	28	57	0	0	232	153	280	0	0	0	0	0	0	0	0	0	0	1267	500	1189	239	515	119	0	0	0	979	190	914	0	0	0	0	0	19	30	92	0	0	0	0	0	0	25	0	0	0	98	625	2587	10271	0	0	0	913	877	436	257	113	23	444	262	174	0	0	0
ASV4	0	0	0	0	0	0	0	0	411	1142	1479	0	0	0	0	0	0	0	0	0	0	0	0	6346	18792	365	10134	6803	0	0	0	3729	4241	6808	0	0	0	0	0	0	0	132	3349	0	307	0	30197	18811	18087	0	0	0	0	0	0	0	0	0	0	970	395	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095	199	0	0	0	0	0	0	0	0	0	147
ASV5	58	80	51	920	910	0	874	109	0	462	158	314	1425	2045	1880	29	452	176	0	38	596	621	694	180	198	706	0	0	535	83	8733	0	0	0	0	184	40	134	1021	69	3	0	87	879	299	667	0	0	91	175	2494	731	172	65	56	36	454	2216	54	0	0	0	211	0	0	0	0	0	42	0	0	0	405	397	517	154	3269	150	32	320	87	4376	4853	133	47	0	0	79	56	0	64	62	0	0	18	0	21	248	0	0	0	649	194	131	106	2056	0	40	0	0	0	0	0	0	0	2133	3409	2052	0	0	0
ASV6	0	40	0	156	1151	0	137	23	0	332	136	215	3437	8794	73	0	0	0	0	0	678	363	393	166	880	1809	0	0	69	0	31283	0	0	0	165	130	61	92	272	0	0	0	0	206	181	538	0	0	0	37	9337	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	144	2346	0	120	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7	0	0	0	48	31	1407	129	0	14	0	0	0	0	0	0	539	462	121	1634	884	0	0	0	75	0	0	0	0	1716	2057	801	0	0	0	0	0	0	1232	2012	702	5	335	36	256	1525	497	0	89	0	0	28	68	782	549	1857	102	46	152	46	1871	1165	3029	42	275	518	28	0	87	474	2902	5011	1033	671	1383	1021	347	1437	116	1291	370	537	244	249	236	2703	711	631	926	865	286	270	959	0	0	1082	2322	2097	5299	1564	2538	365	80	207	198	138	578	0	27	66	414	1415	1229	130	53	45	733	756	704	371	534	0
ASV8	1524	839	759	353	303	0	0	0	421	304	87	569	103	0	0	317	0	416	1183	0	0	0	0	0	0	0	1527	2041	0	0	0	462	705	1725	0	0	0	0	0	0	3	7529	785	104	406	141	85	0	0	0	0	0	0	0	0	0	0	0	0	494	1168	3290	206	561	3290	407	405	381	0	171	607	177	1210	1157	873	0	0	0	0	0	0	0	0	0	0	285	1844	909	813	0	0	89	251	295	35	57	41	5320	1829	4859	0	0	0	516	181	319	0	179	111	1239	436	130	80	37	143	2712	4842	2747	2951	4370	496
ASV9	0	0	0	448	25674	472	0	0	178	321	0	5613	11226	29480	14034	212	406	0	0	2632	0	0	0	2755	4434	5187	0	0	360	2935	2289	0	0	0	3505	8558	4660	0	0	0	4	639	0	2161	5806	1882	319	0	1093	5004	1918	9183	319	702	278	1529	4815	1494	0	0	0	0	0	0	0	0	0	0	303	1454	3001	1018	3502	4923	3582	3108	8671	5289	417	918	1843	0	0	247	0	0	0	267	172	378	0	845	0	0	71	0	690	242	0	0	0	0	551	7535	855	3925	0	0	0	0	317	315	900	698	225	0	0	0	0	0	0
ASV10	0	0	0	131	8649	0	0	0	0	0	745	307	0	1028	1443	200	6998	5901	0	66	0	0	0	505	674	345	0	0	1920	49	929	0	0	0	171	121	0	828	145	233	3	272	0	2140	2329	961	118	0	0	296	75	0	0	0	0	60	96	104	4955	0	0	156	141	0	0	101	80	0	191	247	587	1408	1887	165	683	282	219	67	0	0	0	0	758	54	0	106	385	552	519	232	0	191	451	418	0	0	0	140	0	92	0	0	215	0	624	499	0	0	0	106	628	433	513	308	63	229	370	212	175	280	0
