"","ASV3","ASV268","ASV112","ASV134","ASV269","ASV376","ASV459","ASV512","ASV559","ASV574","ASV594","ASV794","ASV836","ASV842","ASV997","ASV1066","ASV1158","ASV1622","ASV1677","ASV1786","ASV3115","ASV3700","ASV5353","ASV5489","ASV7292","ASV8107","ASV8191","ASV8318","ASV8514","ASV8585","ASV9780","ASV10698"
"Bueng Kan",3417,131,0,2200,321,0,53,0,89,0,10,0,0,0,3,0,6,3,242,0,0,0,0,0,0,0,0,5,0,8,0,0
"Chaiyaphum",13630,5936,415,1534,1015,882,253,173,85,14,277,722,15,8,214,60,374,9,12,0,0,0,0,0,16,27,0,1,0,0,0,0
"Kalasin",2537,71,16,0,55,0,10,3,105,0,25,0,60,40,1,26,80,19,0,1,0,0,0,0,0,0,3,0,0,0,0,0
"Khon Kaen",665,482,18,89,136,0,68,7,85,0,30,0,410,0,19,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loei",3081,842,81,176,27,0,104,0,247,0,568,0,1,0,463,98,9,9,1,0,0,74,47,0,8,0,4,0,0,7,21,0
"Maha Sarakham",0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mukdahan",10838,52,913,259,48,10,0,0,0,1276,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Nakhon Phanom",3645,2276,286,111,159,0,444,130,80,0,3,0,385,0,2,12,0,128,18,0,0,0,5,0,0,3,0,0,0,0,0,0
"Nakhon Ratchasima",143,2745,1049,68,702,839,40,305,0,351,48,37,145,34,144,5,0,20,0,32,1,0,0,0,22,4,0,0,0,3,0,0
"Nong Bua Lam Phu",2956,15778,74,278,126,6,47,30,22,17,27,91,1,12,34,12,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"Nong Khai",1459,6679,9,0,0,48,7,0,592,0,104,0,0,0,13,0,3,0,3,0,0,7,0,0,0,0,35,0,0,0,2,19
"Roi Et",0,0,493,24,17,0,20,10,1,0,68,0,3,18,225,0,61,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"Sakon Nakhon",12859,1326,689,13,1175,3,40,530,911,0,32,20,187,616,32,209,1,27,4,3,0,0,7,0,0,0,0,26,23,2,0,6
"Si Sa Ket",880,0,27,132,167,0,0,0,2,0,0,0,0,0,0,28,0,193,0,0,104,0,0,0,7,0,0,0,2,0,0,0
"Surin",0,470,8,0,147,0,1,0,0,0,0,0,256,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ubon Ratchathani",397,14,2804,0,111,0,0,0,0,23,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
"Udon Thani",2220,1710,54,330,0,0,371,0,298,0,71,0,29,0,0,77,4,0,0,264,0,0,0,32,0,0,0,0,0,0,0,0
"Yasothon",2226,365,0,545,336,163,297,182,8,0,0,0,124,0,0,6,3,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0
