WHO FPPL,Bueng Kan,Chaiyaphum,Kalasin,Khon Kaen,Loei,Maha Sarakham,Mukdahan,Nakhon Phanom,Nakhon Ratchasima,Nong Bua Lam Phu,Nong Khai,Roi Et,Sakon Nakhon,Si Sa Ket,Surin,Ubon Ratchathani,Udon Thani,Yasothon
Fusarium oxysporum,Present,Present,Present,Present,Present,-,Present,Present,Present,Present,Present,-,Present,Present,-,Present,Present,Present
Fusarium sp.,Present,Present,Present,Present,Present,-,Present,Present,Present,Present,Present,-,Present,-,Present,Present,Present,Present
Scedosporium boydii,-,Present,Present,Present,Present,-,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,-
Talaromyces marneffei,Present,Present,-,Present,Present,-,Present,Present,Present,Present,-,Present,Present,Present,-,-,Present,Present
Acremonium pinkertoniae,Present,Present,Present,Present,Present,-,Present,Present,Present,Present,-,Present,Present,Present,Present,Present,-,Present
Scedosporium prolificans,-,Present,-,-,-,-,Present,-,Present,Present,Present,-,Present,-,-,-,-,Present
Fusarium longipes,Present,Present,Present,Present,Present,-,-,Present,Present,Present,Present,Present,Present,-,Present,-,Present,Present
Fusarium chlamydosporum,-,Present,Present,Present,-,Present,-,Present,Present,Present,-,Present,Present,-,-,-,-,Present
Acremonium sp.,Present,Present,Present,Present,Present,Present,-,Present,-,Present,Present,Present,Present,Present,-,-,Present,Present
Acremonium acutatum,-,Present,-,-,-,-,Present,-,Present,Present,-,-,-,-,-,Present,-,-
Acremonium verruculosum,Present,Present,Present,Present,Present,-,Present,Present,Present,Present,Present,Present,Present,-,-,-,Present,-
Fusarium beomiforme,-,Present,-,-,-,-,-,-,Present,Present,-,-,Present,-,-,-,-,-
Fusarium neocosmosporiellum,-,Present,Present,Present,Present,-,-,Present,Present,Present,-,Present,Present,-,Present,-,Present,Present
Candida tropicalis,-,Present,Present,-,-,-,-,-,Present,Present,-,Present,Present,-,-,-,-,-
Fusarium solani,Present,Present,Present,Present,Present,-,Present,Present,Present,Present,Present,Present,Present,-,Present,Present,-,-
Acremonium furcatum,-,Present,Present,Present,Present,-,-,Present,Present,Present,-,-,Present,Present,Present,-,Present,Present
Acremonium hyalinulum,Present,Present,Present,Present,Present,-,-,-,-,Present,Present,Present,Present,-,-,-,Present,Present
Rhizopus microsporus,Present,Present,Present,Present,Present,-,-,Present,Present,-,-,-,Present,Present,-,-,-,Present
Acremonium polychromum,Present,Present,-,-,Present,-,-,Present,-,-,Present,-,Present,-,-,-,-,-
Acremonium vitellinum,-,-,Present,-,-,-,-,-,Present,-,-,-,Present,-,-,-,Present,-
Scedosporium aurantiacum,-,-,-,-,-,-,-,-,Present,-,-,-,-,Present,-,-,-,-
Fusarium nematophilum,-,-,-,-,Present,-,-,-,-,-,Present,-,-,-,-,-,-,-
Acremonium hennebertii,-,-,-,-,Present,-,-,Present,-,-,-,-,Present,-,-,-,-,-
Fusarium redolens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Present,-
Rhizopus arrhizus,-,Present,-,-,Present,-,-,-,Present,-,-,-,-,Present,-,Present,-,Present
Scedosporium sp.,-,Present,-,-,-,-,-,Present,Present,-,-,Present,-,-,-,-,-,-
Mucor circinelloides,-,-,Present,-,Present,-,-,-,-,-,Present,-,-,-,-,-,-,-
Curvularia lunata,Present,Present,-,-,-,-,-,-,-,-,-,-,Present,-,-,-,-,-
Falciformispora senegalensis,-,-,-,-,-,-,-,-,-,-,-,-,Present,Present,Present,Present,-,-
Acremonium brachypenium,Present,-,-,-,Present,-,Present,-,Present,Present,-,-,Present,-,-,-,-,-
Acremonium charticola,-,-,-,-,Present,-,-,-,-,-,Present,-,-,-,-,-,-,-
Lichtheimia brasiliensis,-,-,-,-,-,-,-,-,-,-,Present,-,Present,-,-,-,-,-
